,Title,Author,Status,Wait Time
0,Middlesex,Jeffrey Eugenides,AVAILABLE,
1,Anna Karenina,Leo Tolstoy,AVAILABLE,
2,Anna Karenina,Leo Tolstoy,AVAILABLE,
3,Anna Karenina,Leon Tolstoy,AVAILABLE,
4,The Master and Margarita,Mikhail Bulgakov,AVAILABLE,
5,Bury My Heart at Wounded Knee,Dee Brown,AVAILABLE,
6,Crime and Punishment,Fyodor Dostoevsky,AVAILABLE,
0,A Gentleman in Moscow,Amor Towles,WAIT LIST,Available soon
1,No Country for Old Men,Cormac McCarthy,WAIT LIST,Available soon
2,"Thinking, Fast and Slow",Daniel Kahneman,WAIT LIST,About 3 weeks
3,Catch-22,Joseph Heller,WAIT LIST,About 12 weeks
